interview__id,interview__key.x,membres__id,lien_parente,genre,age,sit_matrimoniale,present_enquete,consentement_ind,niv_etudes,interview__key.y,region,departement,commune,milieu,dr,grappe,num_menage,taille_menage,actif_occupe,secteur_isic_p,statut_emploi_p,nb_employes,revenu_p_mensuel_est,tranche_revenu,a_revenu_secondaire,a_activite_secondaire,secteur_isic_s,a_compte_banque,a_compte_banque_etro,intention_ouvrir_cte,nb_comptes_banque,solde_total_banque,montant_depot_banque,a_compte_imf,nb_comptes_imf,solde_total_imf,montant_depot_imf,a_compte_mobile,mobile_actif,multi_eme,mobile_fait_transactions,nb_comptes_mobile,epargne_oui,epargne_banque,epargne_imf,epargne_mobile,epargne_maison,epargne_tontine,epargne_cte_courant,epargne_cte_vue,epargne_cte_bloque,epargne_cte_special,a_investi_epargne,freq_epargne_tontine,montant_epargne_tontine,a_demande_credit,credit_banque,credit_imf,credit_tontine,credit_famille,montant_credit,usage_credit_invest,usage_credit_conso,a_assurance,ass_sante,ass_vie,ass_habitation,ass_agricole,ass_automobile,prime_assurance,nb_types_assurance,recoit_pension,cotise_retraite,a_compte_poste,score_incl_fin,flag_enfant_marie,flag_revenu_sans_emploi,flag_revenu_extreme
42fd6b9c159f44a9a99f5e2ba695e0de,45-62-48-97,7,Neveu/niece,Féminin,30,Célibataire,1,0,Inconnu,45-62-48-97,Matam,112,11220201,Rural,112202010021,1,034,7,,,,,,,0,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,,,0,0,0,0
051b3e9d1f4743edad63f87837469e7e,89-21-68-61,1,Chef de ménage,Masculin,31,Célibataire,1,1,Supérieur,89-21-68-61,Dakar,11,1130122,Urbain,011301220030,30,7,2,1,S - Autres activités de services,Ouvrier/employé qualifié,,150000,100 000 à moins de 200 000,1,0,,0,0,1,,,,0,,,,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,25000,2,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,0,0,2,0,0,0
051b3e9d1f4743edad63f87837469e7e,89-21-68-61,2,Conjoint ( e ),Féminin,21,Célibataire,0,,Inconnu,89-21-68-61,Dakar,11,1130122,Urbain,011301220030,30,7,2,,,,,,,0,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,,25000,2,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,,,0,0,0,0
6f3653d12352431e926e1353342bb62a,84-81-51-25,1,Chef de ménage,Masculin,53,Célibataire,1,1,Secondaire 1er cycle,84-81-51-25,Saint-Louis,41,4110200,Urbain,041102000044,44,40,5,1,B - Industries extractives,Cadre moyen,,150000,100 000 à moins de 200 000,1,0,,1,0,,1,20,1,0,,,,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,10000,3,1,1,0,0,0,3e+06,0,0,0,0,0,0,0,0,,0,1,1,0,4,0,0,0
6f3653d12352431e926e1353342bb62a,84-81-51-25,2,Conjoint ( e ),Féminin,41,Célibataire,1,0,Inconnu,84-81-51-25,Saint-Louis,41,4110200,Urbain,041102000044,44,40,5,,,,,,,0,,,,,,1,20,1,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,,10000,3,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,,,0,0,0,0
6f3653d12352431e926e1353342bb62a,84-81-51-25,3,"Fils, Fille",Féminin,25,Inconnu,1,0,Inconnu,84-81-51-25,Saint-Louis,41,4110200,Urbain,041102000044,44,40,5,,,,,,,0,,,,,,1,20,1,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,,10000,3,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,,,0,0,0,0
6f3653d12352431e926e1353342bb62a,84-81-51-25,4,"Fils, Fille",Masculin,16,Inconnu,1,0,Inconnu,84-81-51-25,Saint-Louis,41,4110200,Urbain,041102000044,44,40,5,,,,,,,0,,,,,,1,20,1,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,,10000,3,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,,,0,0,0,0
6f3653d12352431e926e1353342bb62a,84-81-51-25,5,"Fils, Fille",Masculin,13,Inconnu,1,0,Inconnu,84-81-51-25,Saint-Louis,41,4110200,Urbain,041102000044,44,40,5,,,,,,,0,,,,,,1,20,1,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,,10000,3,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,,,0,0,0,0
589d7cc5b6f94418a5ae5ad0de5f5490,00-31-00-11,1,Chef de ménage,Masculin,68,Marié(e) monogame,1,1,Secondaire 1er cycle,00-31-00-11,Matam,111,11110200,Urbain,111102000019,1,1,11,0,,,,,,0,,,0,0,1,,,,0,,,,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,0,0,1,0,0,0
589d7cc5b6f94418a5ae5ad0de5f5490,00-31-00-11,2,Personne non apparentée au CM/Conjoint,Féminin,62,Célibataire,1,0,Inconnu,00-31-00-11,Matam,111,11110200,Urbain,111102000019,1,1,11,,,,,,,0,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,,,0,0,0,0
